Ticker,Log_Revenue_2025,Leverage,RD_Intensity,ETR,Treatment_Group,Log_Revenue_2022,Delta_Log_Revenue,Sector,Industry,Country,Market_Cap,Beta,PE_Ratio,Profit_Margin
CHKP,21.71030369161701,0.630802930928469,0.1620469004382428,0.0610741687979539,1,21.56909118514806,0.1412125064689533,Technology,Information Technology Services,United Kingdom,344000000000,1.74,59.0,0.29
CIEN,22.285508782207543,0.5346158613950289,0.1778651336500816,0.2108236769532974,1,22.01323127451874,0.272277507688802,Consumer Cyclical,Semiconductors,Ireland,337000000000,1.67,52.0,0.22
CLSK,20.46926815145012,0.3167779180438939,0.0,0.0513521692195065,0,18.694707505581142,1.77456064586897,Communication Services,Consumer Electronics,United States,351000000000,0.81,16.0,0.11
CMBM,18.88846315812539,1.214719428980942,0.2058504807541733,0.0,0,19.50890257159089,-0.6204394134655047,Consumer Cyclical,Semiconductors,Ireland,337000000000,1.67,52.0,0.22
COUR,20.42130908334587,0.3643,0.1651693991886904,0.0,0,20.07653648498226,0.3447725983636118,Communication Services,Consumer Electronics,Netherlands,363000000000,0.93,28.0,0.23
CSCO,24.760228430930376,0.6169546409793034,0.1641543403819677,0.0828828828828828,1,24.66595382868535,0.0942746022450258,Consumer Cyclical,Software - Infrastructure,United States,346000000000,1.76,61.0,0.31
DBD,22.041924892758168,0.7133665421336655,0.0239714800378212,0.5963229416466826,1,21.964736717692432,0.0771881750657357,Communication Services,Information Technology Services,Ireland,252000000000,0.82,17.0,0.12
DCO,20.51836133900864,0.4418343906088642,0.0,0.2026701625153103,0,20.384342398583332,0.1340189404253031,Communication Services,Information Technology Services,United Kingdom,264000000000,0.94,29.0,0.24
DGII,19.900967689177328,0.3105947459805819,0.1472722908015356,0.189767522793363,0,19.777095626419527,0.1238720627578011,Technology,Consumer Electronics,United States,335000000000,1.65,50.0,0.2
DMRC,17.354356496482957,0.2403602855092715,0.6374624792322544,0.0,0,17.223253139662432,0.1311033568205246,Technology,Information Technology Services,United Kingdom,344000000000,1.74,59.0,0.29
DOCN,20.579904052780584,1.0156118637104432,0.1832014311262195,0.0562145960705586,0,20.17217709024013,0.4077269625404582,Communication Services,Software - Infrastructure,Ireland,342000000000,1.72,57.0,0.27
DSS,16.848394097149058,0.8711370693479226,0.0163800163800163,0.0,0,17.368819721872743,-0.5204256247236856,Technology,Information Technology Services,United Kingdom,284000000000,1.14,49.0,0.19
EGHT,20.395152832879702,0.8211239546998801,0.164828676265763,0.0,0,20.27405258230794,0.1211002505717644,Consumer Cyclical,Software - Infrastructure,United States,346000000000,1.76,61.0,0.31
ENVX,17.21589859602112,0.6882607582695753,3.4672386160082964,0.0055387044413064,0,15.640382378642531,1.5755162173785884,Technology,Consumer Electronics,United States,371000000000,1.01,36.0,0.31
FIVN,20.843041891072,0.561013256464831,0.1408785247319665,0.0614792399092163,0,20.473323894946592,0.3697179961254093,Communication Services,Semiconductors,Ireland,357000000000,0.87,22.0,0.17
FORM,20.46799428687497,0.1543326238481756,0.1510749845913853,0.1650519899017798,0,20.43282930779273,0.0351649790822392,Consumer Cyclical,Software - Infrastructure,Netherlands,358000000000,0.88,23.0,0.18
FSLY,20.20726674804493,0.3800651827270441,0.2566777141062015,0.0,0,19.885612980276736,0.3216537677681899,Technology,Information Technology Services,Netherlands,368000000000,0.98,33.0,0.28
FTNT,22.61669085599351,0.8808859199938398,0.1213205942321543,0.1781643079820742,1,22.208817124663643,0.4078737313298681,Communication Services,Software - Infrastructure,United States,366000000000,0.96,31.0,0.26
GOOGL,26.68116908076155,0.4962547063387045,0.1470747353438199,0.1701827448765054,1,26.3681330613112,0.313036019450351,Communication Services,Software - Infrastructure,United States,426000000000,1.56,41.0,0.11
IBM,24.90935017553074,0.7844284961811957,0.1231614802315716,0.0320338712254353,1,24.82640494685001,0.0829452286807317,Technology,Software - Infrastructure,United States,266000000000,0.96,31.0,0.26
INTC,24.69282897293273,0.4023525627988591,0.2739735470749064,0.49165061014772,1,24.867257339057925,-0.1744283661251948,Consumer Cyclical,Information Technology Services,Ireland,352000000000,0.82,17.0,0.12
INTT,18.583382800891638,0.3151745058256726,0.078629493307826,0.1917683495895786,0,18.576213325656106,0.0071694752355284,Communication Services,Semiconductors,United Kingdom,369000000000,0.99,34.0,0.29
INTU,23.65877028494992,0.4666919205584717,0.1554882905846742,0.1996276375672321,1,23.266912981757013,0.3918573031929035,Consumer Cyclical,Software - Infrastructure,United States,370000000000,1.0,35.0,0.3
KLAC,23.22110203866438,0.7079615004450481,0.111904892350069,0.1254842340790552,1,22.943760117999183,0.2773419206651972,Communication Services,Semiconductors,Netherlands,333000000000,1.63,48.0,0.18
KLTR,19.01320063389495,0.9615536409284928,0.254304577172747,0.0,0,18.944290303879704,0.068910330015246,Consumer Cyclical,Consumer Electronics,Ireland,367000000000,0.97,32.0,0.27
LAW,18.85149107162298,0.2622221966263339,0.3638876821109161,0.0,0,18.72219175434059,0.1292993172823919,Technology,Software - Infrastructure,Netherlands,278000000000,1.08,43.0,0.13
LIVE,19.91011708983223,0.7533540372670807,0.0,0.1997419006593198,0,19.474689591880423,0.4354274979518067,Communication Services,Software - Infrastructure,United Kingdom,354000000000,0.84,19.0,0.14
LOGI,22.24595703257509,0.3987798233377721,0.0673254878380631,0.1080962710453126,1,22.424571830134894,-0.1786147975598062,Consumer Cyclical,Semiconductors,United Kingdom,349000000000,1.79,64.0,0.34
LRCX,23.63754892670287,0.5379948991017209,0.1137141196070145,0.1006879844326969,1,23.56974602129616,0.0678029054067081,Communication Services,Consumer Electronics,Netherlands,363000000000,0.93,28.0,0.23
LZ,20.42074525420137,0.6639792618890292,0.1113453502396516,0.4536541556176175,0,20.24519616446204,0.1755490897393379,Communication Services,Information Technology Services,United States,216000000000,1.46,31.0,0.26
MCHP,22.19021663057877,0.5396107866220909,0.232850383246519,0.3333333333333333,1,22.643257264904577,-0.4530406343258057,Consumer Cyclical,Software - Infrastructure,United States,346000000000,1.76,61.0,0.31
META,25.96797882363434,0.4064739454840023,0.2782241093097128,0.2029173287237803,1,25.482092294848023,0.4858865287863168,Communication Services,Semiconductors,United States,345000000000,1.75,60.0,0.3
MITK,19.02583055140944,0.4766863642403002,0.1901413415045506,0.2343707634726132,0,18.790891661843737,0.2349388895657043,Technology,Consumer Electronics,United Kingdom,359000000000,0.89,24.0,0.19
MNDY,20.93190226698984,0.4081287382512105,0.2603894327664759,0.0,0,20.06747031625505,0.8644319507347866,Technology,Software - Infrastructure,Ireland,362000000000,0.92,27.0,0.22
MSFT,26.364193705217783,0.4451093128789359,0.1153185387116468,0.1762964400980368,1,26.01289557509688,0.3512981301209024,Consumer Cyclical,Information Technology Services,United Kingdom,364000000000,0.94,29.0,0.24
MSI,23.16407006027733,0.8748259322296147,0.0837220550339374,0.2268040028137946,1,22.93285806309129,0.2312119971860369,Consumer Cyclical,Consumer Electronics,Netherlands,283000000000,1.13,48.0,0.18
MU,24.34434813299452,0.3458175318244402,0.1016105730643694,0.1164284234514191,1,24.14941595996414,0.1949321730303808,Technology,Information Technology Services,Ireland,212000000000,1.42,27.0,0.22
NOW,23.26114280416248,0.5021122974114756,0.2247162812009726,0.1992309143108614,1,22.703577412719056,0.5575653914434255,Communication Services,Software - Infrastructure,United Kingdom,294000000000,1.24,59.0,0.29
NXPI,23.22431470661548,0.6065135542168675,0.1914174169639931,0.1896156223618047,1,23.303861382695505,-0.0795466760800245,Communication Services,Semiconductors,United Kingdom,369000000000,0.99,34.0,0.29
ORCL,24.773292718517386,0.8754521534084497,0.1717799961671806,0.1212570621468926,1,24.471357150692192,0.3019355678251934,Communication Services,Software - Infrastructure,United Kingdom,354000000000,0.84,19.0,0.14
PANW,22.944803551087134,0.6681229375387043,0.2151602233909884,0.2894027699442251,1,22.42828661927424,0.516516931812891,Communication Services,Information Technology Services,United States,360000000000,0.9,25.0,0.2
PYPL,24.211528671007272,0.7473463634889551,0.0934857299444509,0.1844449312239722,1,24.03810617295204,0.1734224980552348,Communication Services,Consumer Electronics,United States,375000000000,1.05,40.0,0.1
QCOM,24.50215709094133,0.5770895239614702,0.2058199249369981,0.3103064071846866,1,24.511990626030062,-0.009833535088731,Communication Services,Software - Infrastructure,United Kingdom,354000000000,0.84,19.0,0.14
QNST,20.81644441992016,0.4339131584502223,0.0306010548867372,0.1095922835670749,0,20.18215109432261,0.6342933255975503,Consumer Cyclical,Information Technology Services,United States,376000000000,1.06,41.0,0.11
RAMP,20.459633437811025,0.2465611801446912,0.2195450712822617,0.5590922760673591,0,20.08585038633009,0.3737830514809346,Communication Services,Software - Infrastructure,United Kingdom,354000000000,0.84,19.0,0.14
ROP,22.76217572752813,0.4250079532637302,0.0,0.2107540252578051,1,22.40442888483244,0.3577468426956969,Communication Services,Consumer Electronics,United States,291000000000,1.21,56.0,0.26
RPD,20.56961877182379,0.9103775114916964,0.219849852133438,0.2551098324367092,0,20.345050556769475,0.2245682150543153,Consumer Cyclical,Information Technology Services,United States,280000000000,1.1,45.0,0.15
SAP,24.316202315995053,0.3593985389841107,0.1811719663381798,0.2894649648720109,1,24.108299960766143,0.2079023552289065,Technology,Software - Infrastructure,Netherlands,278000000000,1.08,43.0,0.13
SCOR,19.695531295217915,0.7266702476521244,0.0858846107148423,0.0,0,19.74622406901588,-0.0506927737979623,Consumer Cyclical,Semiconductors,United States,361000000000,0.91,26.0,0.21
SCSC,21.83353036697433,0.4923801779339898,0.0,0.2437264195582747,1,21.984545294124352,-0.151014927150026,Technology,Software - Infrastructure,United States,350000000000,0.8,15.0,0.1
SHOP,23.09886028520228,0.1129764961485285,0.1390573446396228,0.1394112800673436,1,22.446032434687517,0.6528278505147682,Consumer Cyclical,Information Technology Services,United Kingdom,364000000000,0.94,29.0,0.24
SMSI,16.669852063326275,0.2635457130271114,0.6173472326210908,0.0025847702615379,0,17.69734236122819,-1.0274902979019167,Communication Services,Software - Infrastructure,United States,366000000000,0.96,31.0,0.26
SNPS,22.67688590235174,0.4126006924162408,0.3514708588300437,0.0401904472049511,1,22.252732405827164,0.4241534965245748,Technology,Software - Infrastructure,United Kingdom,374000000000,1.04,39.0,0.34
SPSC,20.404613277362152,0.1675124950955628,0.0934135162558581,0.2430755044248064,0,19.92670069718798,0.4779125801741735,Communication Services,Consumer Electronics,Netherlands,363000000000,0.93,28.0,0.23
STM,23.193690462440905,0.2651209677419355,0.1732824596644482,0.3992283950617283,1,23.50382272883537,-0.310132266394465,Communication Services,Software - Infrastructure,United Kingdom,294000000000,1.24,59.0,0.29
TCX,19.782426232150844,1.214719428980942,0.0456392518575454,0.0,0,19.59291695273111,0.1895092794197346,Consumer Cyclical,Semiconductors,United Kingdom,289000000000,1.19,54.0,0.24
TEAM,22.37486321708462,0.7772822440362994,0.5118228966135052,0.0,1,21.75391401049052,0.6209492065941014,Communication Services,Semiconductors,United States,345000000000,1.75,60.0,0.3
TEL,23.551648344604764,0.492444479885172,0.0480458136678627,0.4669454174185102,1,23.51326462069579,0.038383723908975,Communication Services,Consumer Electronics,United Kingdom,279000000000,1.09,44.0,0.14
TENB,20.69692723520128,0.8132504647624519,0.2199899849211008,0.0,0,20.34228502704976,0.354642208151521,Technology,Consumer Electronics,Ireland,347000000000,1.77,62.0,0.32
TLS,18.92027351478523,0.3139764342504147,0.0428203027820757,0.0178182697734419,0,19.231991081101874,-0.3117175663166449,Technology,Semiconductors,Netherlands,293000000000,1.23,58.0,0.28
TSM,28.968402059033565,0.3197622163808244,0.0646951134301235,0.1697298764575616,1,28.448106262749363,0.5202957962842021,Communication Services,Software - Infrastructure,United Kingdom,294000000000,1.24,59.0,0.29
TWLO,22.31155822088669,0.1995052651293792,0.2067332289742195,0.4573668303681513,1,22.065169604079177,0.2463886168075149,Consumer Cyclical,Information Technology Services,United States,376000000000,1.06,41.0,0.11
TXN,23.56649471933906,0.5294780974410872,0.1196813181464917,0.1173161082210987,1,23.72039713141411,-0.1539024120750483,Communication Services,Information Technology Services,United States,300000000000,1.3,15.0,0.1
UBER,24.627633867033445,0.5455972298631112,0.0666532257338812,0.0,1,24.18515058355465,0.442483283478797,Consumer Cyclical,Information Technology Services,Ireland,352000000000,0.82,17.0,0.12
UDMY,20.489740401481036,0.6592817201933631,0.133082106359845,0.3622406141297829,0,20.259796015811677,0.2299443856693592,Communication Services,Semiconductors,United Kingdom,369000000000,0.99,34.0,0.29
VNT,21.841174806896465,0.7136055667460172,0.0574646962565573,0.1842073185596918,1,21.881529725178694,-0.0403549182822331,Consumer Cyclical,Software - Infrastructure,Netherlands,298000000000,1.28,63.0,0.33
VRNS,20.22763246077,0.6658562233340701,0.3708684108155328,0.0,0,19.97594542949779,0.2516870312722048,Consumer Cyclical,Consumer Electronics,United Kingdom,379000000000,1.09,44.0,0.14
WIT,27.516437745832494,0.3545012903025215,0.0,0.2410861803327299,1,27.396480362547656,0.1199573832848415,Communication Services,Software - Infrastructure,United Kingdom,294000000000,1.24,59.0,0.29
WK,20.55470783670525,1.003639599322697,0.2501023492795635,0.0,0,20.10313674912304,0.4515710875822165,Technology,Information Technology Services,Ireland,212000000000,1.42,27.0,0.22
XMTR,20.30443527149211,0.6067512647075541,0.0685603568729131,0.000102768808044,0,19.758102562509816,0.5463327089822947,Communication Services,Semiconductors,United States,381000000000,1.11,46.0,0.16
